"location_key","location_name","city","province","country","latitude","longitude"
1,Main Branch,Johannesburg,Gauteng,South Africa,-26.204100,28.047300
2,Letsitele,Letsitele,Limpopo,South Africa,-23.878400,30.402700
3,Tzaneen,Tzaneen,Limpopo,South Africa,-23.833300,30.166700
4,Distribution Centre,Johannesburg,Gauteng,South Africa,-26.204100,28.047300
5,Hoedspruit,Hoedspruit,Limpopo,South Africa,-24.350000,30.950000
6,Head Office,Johannesburg,Gauteng,South Africa,-26.204100,28.047300
7,Louis Trichardt,Louis Trichardt,Limpopo,South Africa,-23.043300,29.903600
8,Levubu,Levubu,Limpopo,South Africa,-23.095000,30.216900
9,Nelspruit,Nelspruit,Mpumalanga,South Africa,-25.474500,30.970300
10,Project,Johannesburg,Gauteng,South Africa,-26.204100,28.047300
